,Area,BHK,Bathroom,Locality,Price
211,3901.0,4,4.0,"The Leela Sky Villas, Patel Nagar",93000000
212,950.0,3,2.0,"Uttam Nagar Floors, Uttam Nagar",4370000
213,1000.0,3,2.0,"Virat Residency, Dwarka Mor",4620000
214,850.0,2,1.0,"Siddhartha Heights, Dwarka Sector 24",1900000
215,2400.0,4,4.0,"Find Homes, Greater Kailash 2",70000000
216,1350.0,3,2.0,"MTNL Employees House Welfare Society, Dwarka Sector 24",5130000
217,540.0,2,2.0,"Adarsh Homes, Dwarka Mor",3000000
218,1387.0,4,4.0,"Delhi Homes Yojana, Dwarka Sector 24",5890000
219,540.0,2,2.0,"Kushwaha Homes, Uttam Nagar",3300000
220,976.0,2,2.0,"Godrej South Estate, Okhla",24900000
221,1050.0,3,2.0,"The Elite Spire, Dwarka Sector 21",3700000
222,2700.0,4,3.0,"APL Builder Floor, Greater Kailash 1",60000000
223,1500.0,3,2.0,"Kunj Vihar Apartment, Dwarka Sector 12",17400000
224,2900.0,5,5.0,Janakpuri Block A3,51000000
225,5025.0,5,6.0,Greater Kailash 2,170000000
226,1000.0,3,2.0,"Partap Homes, Bhagwati Vihar, Uttam Nagar",5510000
227,1135.0,3,3.0,"The Amaryllis, Karol Bagh",25000000
228,2306.0,3,3.0,"The Leela Sky Villas, Patel Nagar",57000000
229,850.0,2,2.0,"Diamond Heights Multi Estate, Najafgarh",2940000
230,1200.0,3,3.0,"Ashirwad Apartments, Dwarka Sector 12",15500000
231,1700.0,3,2.0,"Sunny Valley Apartments, Dwarka",17200000
232,1800.0,4,3.0,"Vasant Vihar Builder Floor, Vasant Vihar",55000000
233,1100.0,2,2.0,Vasant Kunj,15000000
234,22050.0,4,4.0,Greater Kailash 1,51000000
235,1550.0,4,3.0,Rohini Sector 24,13000000
236,1600.0,3,3.0,Greater Kailash 1,30000000
237,700.0,2,2.0,"Khanpur, Madangir",2400000
238,45.0,4,3.0,"Batla House, Okhla",5500000
239,3510.0,4,4.0,"Friends Colony West, New Friends Colony",45000000
240,4500.0,4,4.0,New Friends Colony,60000000
241,1800.0,4,4.0,New Friends Colony,65000000
242,6000.0,5,5.0,"Maharani Bagh, New Friends Colony",220000000
243,4300.0,4,4.0,other,60000000
244,1700.0,3,3.0,"Friends Colony East, New Friends Colony",38500000
245,2500.0,3,3.0,"Maharani Bagh, New Friends Colony",50000000
246,4500.0,4,4.0,New Friends Colony,75000000
247,2450.0,4,4.0,"Friends Colony West, New Friends Colony",70000000
248,10350.0,4,7.0,"Maharani Bagh, New Friends Colony",160000000
249,4800.0,3,4.0,"Maharani Bagh, New Friends Colony",85000000
250,1600.0,3,3.0,New Friends Colony,40000000
